iter	MultiClass
0	1.402294575
1	1.161449455
2	0.9889738001
3	0.856556253
4	0.7507109154
5	0.6639044929
6	0.5912312813
7	0.5294515581
8	0.4756046996
9	0.4297238981
10	0.3891562968
11	0.3529333685
12	0.321812483
13	0.2933484742
14	0.2682167011
15	0.2458908528
16	0.2250308778
17	0.2067739173
18	0.1904346332
19	0.1758558867
20	0.1623073124
21	0.1502973553
22	0.1391840274
23	0.1296574666
24	0.1208318608
25	0.1126098667
26	0.1049999997
27	0.09792081381
28	0.0917740826
29	0.08581339596
30	0.08035924755
31	0.07562314012
32	0.07093172984
33	0.06673295242
34	0.06275507406
35	0.0592647602
36	0.05627214968
37	0.05322826717
38	0.05070430505
39	0.04834992049
40	0.04604516908
41	0.04395946942
42	0.04204299005
43	0.0402412252
44	0.03865614601
45	0.03710430659
46	0.03582474195
47	0.03444669915
48	0.03329228309
49	0.03217935594
50	0.03117012693
51	0.03026318254
52	0.02944708799
53	0.02868262606
54	0.0280436153
55	0.02725740722
56	0.02656113256
57	0.02594311957
58	0.02529861708
59	0.02483933869
60	0.02440692304
61	0.02404758075
62	0.02363955981
63	0.02329223933
64	0.02299783948
65	0.02258850242
66	0.02230117039
67	0.02205460827
68	0.02170980043
69	0.02146249412
70	0.02118880093
71	0.02088273293
72	0.0206352381
73	0.02040799229
74	0.02021136901
75	0.02001836741
76	0.01978881157
77	0.01965711643
78	0.0194334536
79	0.01926980244
80	0.0190884973
81	0.01896107141
82	0.0187705376
83	0.01864440965
84	0.01850958329
85	0.01837739008
86	0.01823776707
87	0.01813423913
88	0.01802972675
89	0.01788521508
90	0.01778077154
91	0.01774442197
92	0.01764979276
93	0.017565351
94	0.01742137214
95	0.01731511064
96	0.01719621728
97	0.01711000487
98	0.01700501329
99	0.01690198211
100	0.01679718064
101	0.01665995783
102	0.01658108076
103	0.016507618
104	0.01644726064
105	0.01637306745
106	0.01627648615
107	0.01618476997
108	0.01609543163
109	0.01602120323
110	0.01589496084
111	0.01584768643
112	0.01581849952
113	0.01577243246
114	0.01569079322
115	0.01557939822
116	0.01551154402
117	0.0154299177
118	0.01535625796
119	0.01530311207
120	0.01525069379
121	0.0152169718
122	0.01514854158
123	0.01509569779
124	0.01508720861
125	0.0150291968
126	0.01495411004
127	0.01488417052
128	0.01483367929
129	0.01480111546
130	0.01475175083
131	0.01474605009
132	0.01468542181
133	0.01461926404
134	0.01456241463
135	0.01448555998
136	0.0144806495
137	0.01441140668
138	0.01440067112
139	0.01439268491
140	0.01434939573
141	0.0142781872
142	0.01424068246
143	0.01420298778
144	0.01412167584
145	0.01406154615
146	0.01402047682
147	0.01397560554
148	0.01391458384
149	0.01391114325
150	0.01388201954
151	0.01383022923
152	0.01381721523
153	0.01375185111
154	0.01372789136
155	0.0137250021
156	0.01366603049
157	0.01362895725
158	0.01357848942
159	0.01355017906
160	0.01348372704
161	0.01341124834
162	0.01337380489
163	0.01336065824
164	0.01329453648
165	0.01325104982
166	0.01321324938
167	0.01314180541
168	0.01310614747
169	0.01306794203
170	0.01306525476
171	0.01300113771
172	0.0129927467
173	0.01295560501
174	0.01295227114
175	0.01292014395
176	0.01291770053
177	0.01286750243
178	0.01282444121
179	0.01282201763
180	0.01278302393
181	0.01276515537
182	0.01270559067
183	0.01268425658
184	0.01265362853
185	0.0126515269
186	0.01264936409
187	0.01261324097
188	0.01257212954
189	0.0125294195
190	0.01246312128
